Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
TY_US10Y,EURUSD,Bonds,FX_G10,0.2192,1,0.2055,Inter,True,0.2707845081982687,True,1.0,False,0.0,0.444774577869394,2,Modérée
SILVER,USDJPY,Commodites,FX_G10,0.2193,1,0.2024,Inter,True,0.26809661056605505,True,1.0,False,0.0,0.44383381369811925,2,Modérée
G_GILT,GBPJPY,Bonds,FX_G10,0.2144,1,0.2048,Inter,True,0.26172924713762974,True,1.0,False,0.0,0.4416052364981704,2,Modérée
NASDAQ100,EURJPY,Indices,FX_G10,0.2108,1,0.205,Inter,True,0.2556073926590066,True,1.0,False,0.0,0.4394625874306523,2,Modérée
VIX,HANGSENG,Indices,Indices,0.2603,1,0.1097,Intra,True,0.25430609674002014,True,1.0,False,0.0,0.439007133859007,2,Modérée
GOLD,USDCAD,Commodites,FX_G10,0.227,1,0.1654,Inter,True,0.24741341510614298,True,1.0,False,0.0,0.43659469528715,2,Modérée
NASDAQ100,GBPUSD,Indices,FX_G10,0.2069,1,0.2026,Inter,True,0.24655869773828176,True,1.0,False,0.0,0.43629554420839856,2,Modérée
G_GILT,EURJPY,Bonds,FX_G10,0.2146,1,0.1865,Inter,True,0.24517820368843043,True,1.0,False,0.0,0.43581237129095063,2,Modérée
ZINC,AUDJPY,Commodites,FX_G10,0.2316,1,0.1541,Inter,True,0.2450354204425439,True,1.0,False,0.0,0.43576239715489035,2,Modérée
SILVER,USDCHF,Commodites,FX_G10,0.2166,1,0.1708,Inter,True,0.23418173789993807,True,1.0,False,0.0,0.4319636082649783,2,Modérée
RUSSELL2000,HANGSENG,Indices,Indices,0.2626,1,0.0815,Intra,True,0.23229050051841826,True,1.0,False,0.0,0.43130167518144635,2,Modérée
PLATINUM,USDCHF,Commodites,FX_G10,0.2084,1,0.1827,Inter,True,0.23080730777697267,True,1.0,False,0.0,0.4307825577219404,2,Modérée
EUROSTOXX50,AUDUSD,Indices,FX_G10,0.2365,1,0.1277,Inter,True,0.22923700234745453,True,1.0,False,0.0,0.43023295082160906,2,Modérée
BRENT_CRUDE,GBPJPY,Commodites,FX_G10,0.1985,1,0.1935,Inter,True,0.2234388438197603,True,1.0,False,0.0,0.4282035953369161,2,Modérée
VIX,USDJPY,Indices,FX_G10,0.1984,1,0.1913,Inter,True,0.22123179803219778,True,1.0,False,0.0,0.4274311293112692,2,Modérée
SILVER,USDNOK,Commodites,FX_G10,0.1974,1,0.1918,Inter,True,0.21994176033486756,True,1.0,False,0.0,0.4269796161172036,2,Modérée
