Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
EURJPY,DOWJONES,FX_G10,Indices,Inter,0.0081,-0.0494,0.0038,-0.0183,-0.0358,0.252,0.037,-0.0125,-0.0019,-0.0067,-0.011,-1,0.252,0.252,DOWJONES,EURJPY,1,0.2439
EURJPY,SP500,FX_G10,Indices,Inter,0.0032,-0.0392,0.0076,-0.0154,-0.0344,0.2517,0.0365,-0.0215,0.0082,-0.0123,-0.0153,-1,0.2517,0.2517,SP500,EURJPY,1,0.2485
EURUSD,SILVER,FX_G10,Commodites,Inter,0.0304,0.0087,0.016,0.0477,0.0416,0.2498,0.0296,-0.043,-0.0203,0.0292,-0.0307,-1,0.2498,0.2498,SILVER,EURUSD,1,0.2194
HANGSENG,NASDAQ100,Indices,Indices,Intra,0.1725,0.049,-0.0557,0.0193,0.0392,0.2489,0.0148,-0.0108,-0.0172,0.0062,-0.0297,-1,0.2489,0.2489,NASDAQ100,HANGSENG,1,0.0764
EURUSD,PLATINUM,FX_G10,Commodites,Inter,0.0431,-0.0118,0.0298,0.0212,0.0385,0.2486,0.0276,-0.0416,-0.0134,0.0167,-0.0478,-1,0.2486,0.2486,PLATINUM,EURUSD,1,0.2055
GBPUSD,RUSSELL2000,FX_G10,Indices,Inter,0.0202,0.0031,0.0186,0.0465,0.0775,0.2478,0.0386,-0.0252,-0.0017,-0.0406,-0.0139,-1,0.2478,0.2478,RUSSELL2000,GBPUSD,1,0.2276
GBPUSD,SILVER,FX_G10,Commodites,Inter,0.0421,0.0042,0.027,0.0303,0.0642,0.2469,0.0166,-0.0343,-0.0356,-0.0079,-0.0371,-1,0.2469,0.2469,SILVER,GBPUSD,1,0.2048
DOWJONES,HANGSENG,Indices,Indices,Intra,0.1776,-0.0238,-0.0097,-0.0253,0.0156,0.0136,0.2465,0.0421,0.0324,-0.0618,0.0482,1,0.2465,0.2465,DOWJONES,HANGSENG,1,0.0689
GBPUSD,SP500,FX_G10,Indices,Inter,0.0186,-0.0078,0.0066,0.0677,0.0559,0.2448,0.0516,-0.0203,-0.0011,-0.0198,-0.0205,-1,0.2448,0.2448,SP500,GBPUSD,1,0.2262
USDSEK,DOWJONES,FX_G10,Indices,Inter,0.0065,-0.0054,0.0079,-0.0204,-0.0365,-0.2444,-0.0285,0.0088,0.0103,-0.0124,0.0512,-1,-0.2444,0.2444,DOWJONES,USDSEK,1,0.2379
