Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
EURUSD,RUSSELL2000,FX_G10,Indices,Inter,0.0251,0.023,0.2488,-0.6668,0.7461,1.4129,0.0352,0.1442,-0.3903,0.4253,0.8156,0.0377,0.0946,-0.2511,0.3423,0.5934,0.0251,Stable,Moderate,0.05907272299364556,0.7958818263205014,0.3537963643243879
USDCHF,VIX,FX_G10,Indices,Inter,-0.0225,-0.0284,0.2435,-0.801,0.5854,1.3864,-0.0336,0.1423,-0.4696,0.3157,0.7852,-0.0404,0.1009,-0.3212,0.2072,0.5285,0.0225,Stable,Moderate,0.05295363614968228,0.8043867502238138,0.35352688177933494
USDSEK,EUROSTOXX50,FX_G10,Indices,Inter,-0.0155,-0.015,0.2285,-0.6805,0.6242,1.3048,-0.0243,0.1368,-0.3689,0.3374,0.7063,-0.0263,0.0873,-0.2736,0.1796,0.4532,0.0155,Stable,Stable,0.03647917156978112,0.829006266786034,0.3534900096562823
OAT_FRANCE,COPPER,Bonds,Commodites,Inter,-0.0668,-0.0913,0.2691,-0.7565,0.6714,1.4279,-0.0907,0.1773,-0.5538,0.3498,0.9036,-0.0895,0.1288,-0.4648,0.2281,0.6929,0.0668,Moderate,Unstable,0.1572134619910567,0.6477170993733213,0.3534149169439626
EURUSD,DOWJONES,FX_G10,Indices,Inter,0.0259,0.0255,0.2346,-0.7204,0.7181,1.4385,0.0339,0.1451,-0.3221,0.3867,0.7089,0.0363,0.1038,-0.2475,0.3237,0.5712,0.0259,Stable,Moderate,0.060955518945634266,0.7918531781557744,0.35331458262969034
EURUSD,NASDAQ100,FX_G10,Indices,Inter,0.013,0.0188,0.2351,-0.7063,0.6237,1.33,0.0265,0.1352,-0.3793,0.4148,0.7941,0.0266,0.0939,-0.2875,0.2906,0.578,0.013,Stable,Stable,0.030595434219816427,0.8361683079677709,0.3528245837189982
EURUSD,EUROSTOXX50,FX_G10,Indices,Inter,-0.0151,0.0028,0.2367,-0.6268,0.6606,1.2874,0.0082,0.137,-0.5282,0.4185,0.9468,0.0077,0.0931,-0.3998,0.2695,0.6694,0.0151,Stable,Stable,0.03553777359378677,0.8281110116383168,0.35256706881159877
EURUSD,SILVER,FX_G10,Commodites,Inter,0.0304,0.0097,0.2435,-0.7033,0.7788,1.4821,0.0242,0.1491,-0.3245,0.4132,0.7377,0.0251,0.1053,-0.2451,0.2886,0.5337,0.0304,Stable,Moderate,0.07154624617557072,0.7739480752014324,0.3525069777859154
EURUSD,CAC40,FX_G10,Indices,Inter,-0.0177,-0.0012,0.2377,-0.653,0.6675,1.3205,0.0055,0.1392,-0.5086,0.4573,0.9659,0.005,0.0923,-0.4049,0.2908,0.6957,0.0177,Stable,Stable,0.04165686043775006,0.8182632050134289,0.3522993982680216
USDCHF,HANGSENG,FX_G10,Indices,Inter,-0.0419,-0.0615,0.2513,-0.7233,0.8,1.5233,-0.0589,0.1584,-0.498,0.4756,0.9735,-0.0508,0.1275,-0.3574,0.3191,0.6764,0.0419,Moderate,Moderate,0.09861143798540833,0.7323187108325873,0.3520943471242799
