Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
DAX,GBPUSD,Indices,FX_G10,Inter,4,0.0,33.8353,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,GBPJPY,Indices,FX_G10,Inter,1,0.0,255.2897,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,EURJPY,Indices,FX_G10,Inter,1,0.0,69.4044,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,EURGBP,Indices,FX_G10,Inter,3,0.0,55.8134,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,AUDUSD,Indices,FX_G10,Inter,4,0.0,50.6727,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,AUDJPY,Indices,FX_G10,Inter,1,0.0,360.3512,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,NIKKEI225,Indices,Indices,Intra,3,0.0,84.6836,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,HANGSENG,Indices,Indices,Intra,2,0.0,69.963,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,ASX200,Indices,Indices,Intra,5,0.0,76.6672,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,USDSEK,Indices,FX_G10,Inter,1,0.0,78.7772,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,USDNOK,Indices,FX_G10,Inter,5,0.0,43.7603,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,USDJPY,Indices,FX_G10,Inter,1,0.0,70.2927,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,USDCAD,Indices,FX_G10,Inter,1,0.0,241.5634,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,EURGBP,Indices,FX_G10,Inter,1,0.0,28.1294,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,NZDUSD,Indices,FX_G10,Inter,4,0.0,22.7319,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,GBPJPY,Indices,FX_G10,Inter,1,0.0,89.8815,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,EURJPY,Indices,FX_G10,Inter,1,0.0,81.37,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,AUDUSD,Indices,FX_G10,Inter,5,0.0,41.5469,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,AUDJPY,Indices,FX_G10,Inter,1,0.0,346.7356,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,NIKKEI225,Indices,Indices,Intra,3,0.0,153.5745,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,HANGSENG,Indices,Indices,Intra,2,0.0,81.5009,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,SP500,Indices,Indices,Intra,4,0.0,10.0373,True,"{1: 0.0947, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,DOWJONES,Indices,Indices,Intra,4,0.0,10.2604,True,"{1: 0.0526, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,ASX200,Indices,Indices,Intra,5,0.0,83.7325,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,USDSEK,Indices,FX_G10,Inter,1,0.0,93.787,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,USDNOK,Indices,FX_G10,Inter,5,0.0,32.8455,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,USDJPY,Indices,FX_G10,Inter,1,0.0,87.0043,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,USDCAD,Indices,FX_G10,Inter,1,0.0,226.6661,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,NZDUSD,Indices,FX_G10,Inter,3,0.0,36.7932,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
FTSE100,GBPUSD,Indices,FX_G10,Inter,4,0.0,8.7673,True,"{1: 0.002, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,USDCAD,Indices,FX_G10,Inter,1,0.0,194.9262,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,AUDUSD,Indices,FX_G10,Inter,3,0.0,17.6319,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,LEAD,Indices,Commodites,Inter,1,0.0,28.054,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
PLATINUM,AUDJPY,Commodites,FX_G10,Inter,1,0.0,90.4446,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
NZDUSD,USDNOK,FX_G10,FX_G10,Intra,5,0.0,31.32,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
NAT_GAS,AUDJPY,Commodites,FX_G10,Inter,2,0.0,16.6104,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,NIKKEI225,Commodites,Indices,Inter,1,0.0,48.209,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
