sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
1.25,2.0,1.5,20,2454,-0.00224315,0.4446,-0.053753
1.5,3.0,1.5,20,1630,-0.00253955,0.3951,-0.054
1.25,2.0,2.0,20,2298,-0.00235414,0.4661,-0.054115
2.0,1.5,1.0,20,914,-0.0019862,0.4245,-0.0543
2.5,2.0,2.5,10,409,-0.00249858,0.4866,-0.054344
2.0,1.5,1.0,15,914,-0.00198744,0.4245,-0.054381
2.0,3.0,2.0,20,775,-0.00286439,0.4142,-0.054508
2.5,2.5,2.0,7,417,-0.0023722,0.4532,-0.05458
1.25,2.5,1.5,10,2417,-0.00230648,0.4303,-0.054931
1.5,1.5,1.5,10,1880,-0.00212654,0.4777,-0.05494
1.5,2.5,1.0,20,1799,-0.00226678,0.3602,-0.055062
1.25,2.0,1.5,10,2503,-0.00221513,0.4503,-0.055062
1.25,3.0,1.0,5,2674,-0.00200953,0.426,-0.055109
1.25,2.0,1.5,7,2559,-0.00210987,0.4639,-0.05517
2.0,2.5,2.5,20,769,-0.00292949,0.459,-0.055327
2.5,2.0,1.5,20,428,-0.00241177,0.4322,-0.055947
1.5,3.0,2.0,7,1664,-0.00247117,0.4591,-0.056063
1.5,1.5,1.5,15,1872,-0.00221615,0.4802,-0.056374
1.25,1.5,2.0,5,2643,-0.00205442,0.4896,-0.056412
1.25,2.0,2.0,7,2448,-0.00223817,0.48,-0.056925
1.5,2.5,1.0,10,1825,-0.00229565,0.3759,-0.057296
1.25,2.5,2.0,15,2217,-0.00263244,0.438,-0.05731
2.0,2.5,2.5,15,783,-0.00295994,0.4585,-0.057731
1.75,3.0,2.0,20,1078,-0.0030019,0.4137,-0.057803
1.25,2.5,2.5,5,2430,-0.00222366,0.4687,-0.057916
2.5,2.0,1.0,7,432,-0.00221254,0.4097,-0.057931
1.5,1.5,2.5,15,1706,-0.00254894,0.5223,-0.058409
1.5,2.5,2.5,20,1530,-0.00296293,0.4529,-0.058549
1.5,3.0,1.5,10,1679,-0.00260757,0.4127,-0.058838
1.25,3.0,1.5,15,2290,-0.00263603,0.4039,-0.059179
2.0,1.5,1.0,10,916,-0.00214327,0.4247,-0.059238
1.5,3.0,1.5,15,1647,-0.00274392,0.3983,-0.059344
1.5,1.5,1.0,5,2004,-0.00201546,0.4426,-0.059584
1.5,2.5,1.0,15,1802,-0.00244498,0.3613,-0.059992
1.25,2.5,1.0,5,2723,-0.00214487,0.4282,-0.060242
2.5,2.5,2.5,5,418,-0.00252026,0.4713,-0.06033
2.5,2.5,1.0,5,430,-0.00229459,0.4186,-0.060699
2.0,1.5,2.0,20,867,-0.00260044,0.5098,-0.060908
1.5,1.5,2.0,20,1776,-0.00255237,0.5135,-0.061011
1.25,2.0,2.0,15,2312,-0.0026351,0.4645,-0.06121
1.25,2.0,1.5,15,2463,-0.00253774,0.4421,-0.061347
1.5,1.5,2.5,10,1725,-0.0026029,0.5142,-0.061568
1.75,3.0,1.0,20,1195,-0.00274713,0.3297,-0.061663
2.5,1.5,2.0,5,430,-0.00237291,0.4907,-0.061692
1.75,3.0,2.0,15,1095,-0.00312225,0.4174,-0.061736
1.25,2.5,1.5,15,2361,-0.0027012,0.4138,-0.061855
1.5,1.5,1.5,5,1943,-0.00222924,0.4786,-0.061857
1.5,1.5,2.0,10,1796,-0.0025221,0.5056,-0.062344
2.5,2.0,2.0,15,416,-0.00283439,0.4736,-0.062825
1.5,2.5,1.0,7,1857,-0.00242349,0.3953,-0.062984
2.5,3.0,2.5,5,414,-0.00264227,0.4686,-0.06333
